crpc_section,bnss_section,note
1,1,Short title extent commencement
2,2,Definitions
3,3,Construction of references
4,4,Trial of offences under IPC and other laws
5,5,Saving
41,35,When police may arrest without warrant
41A,35,Notice of appearance before police officer
41B,36,Procedure of arrest and duties of officer making arrest
41C,37,Control room at districts
41D,38,Right of arrested person to meet an advocate of his choice during interrogation
46,43,Arrest how made
49,47,No unnecessary restraint
50,48,Person arrested to be informed of grounds of arrest and of right to bail
50A,49,Obligation of person making arrest to inform about the arrest
51,50,Search of arrested person
54,53,Examination of arrested person by medical officer
55,54,Examination of arrested person
55A,55,Health and safety of arrested person
56,56,Person arrested to be taken before Magistrate or Officer in charge of police station
57,58,Person arrested not to be detained more than twenty-four hours
58,59,Police to report apprehensions
60,61,Pursuit of offenders into other jurisdictions
64,65,Service when persons summoned cannot be found
65,66,Procedure when service cannot be effected as before provided
66,67,Service on corporate bodies and societies
67,68,Service of summons outside local limits
68,69,Service of summons outside India
69,70,Summons how served when person summoned is in active service
70,71,Form of warrant of arrest and duration
72,73,Warrant may be directed to any person
73,74,Warrant directed to police officer
74,75,Warrant directed to any person for arrest
75,76,Notification of substance of warrant
76,77,Person arrested to be brought before Court without delay
78,79,Warrant forwarded for execution outside jurisdiction
81,82,Procedure by Magistrate before whom such person arrested is brought
82,84,Proclamation for person absconding
83,85,Attachment of property of person absconding
88,90,Summons to produce document or other thing
91,93,Search of place entered by person sought to be arrested
93,94,When search warrant may be issued
94,95,Search of suspected place
95,96,Power to declare certain publications forfeited and to issue search warrants for the same
97,98,Search for persons wrongfully confined
98,99,Power to compel restoration of abducted females
100,101,Persons in charge of closed place to allow search
101,102,Disposal of things found in search beyond jurisdiction
102,103,Seizure of property suspected to be stolen
107,107,Security for keeping the peace
108,108,Security for good behaviour from persons disseminating seditious matter
109,109,Security for good behaviour from suspected persons
110,110,Security for good behaviour from habitual offenders
124,124,Power to release persons imprisoned for failing to give security
129,130,Dispersal of assembly by use of civil force
130,131,Use of armed forces to disperse assembly
131,132,Power of certain armed force officers to disperse assembly
132,133,Protection against prosecution for acts done under sections 130 and 131 (renumbered)
133,133,Conditional order for removal of nuisance
144,163,Power to issue order in urgent cases of nuisance or apprehended danger
144A,163,Power to prohibit carrying arms in procession or mass drill
145,164,Procedure where dispute concerning land or water is likely to cause breach of peace
151,170,Arrest to prevent the commission of cognizable offences
154,173,Information in cognizable cases
155,174,Information as to non-cognizable cases and investigation of such cases
156,175,Police officer's power to investigate cognizable case
157,176,Procedure for investigation
158,177,Reports how submitted
160,179,Police officer's power to require attendance of witnesses
161,180,Examination of witnesses by police
162,181,Statements to police not to be signed -- use of statements in evidence
163,182,No inducement to be offered
164,183,Recording of confessions and statements
164A,184,Medical examination of the victim of rape
165,185,Search by police officer
166,186,When officer in charge of police station may require another to issue search-warrant
167,187,Procedure when investigation cannot be completed in twenty-four hours
168,188,Report of investigation by subordinate police officer
169,189,Release of accused when evidence deficient
170,190,Cases to be sent to Magistrate when evidence is sufficient
172,191,Diary of proceedings in investigation
173,193,Report of police officer on completion of investigation
174,194,Police to enquire and report on suicide etc
176,196,Inquiry by Magistrate into cause of death
177,201,Ordinary place of inquiry and trial
178,201,Place of inquiry or trial
179,202,Offence triable where act is done or consequence ensues
182,205,Offence committed by letters etc
184,207,Place of trial for offences triable together
185,208,Power to order cases to be tried in different sessions divisions
186,209,High Court to decide in case of doubt
187,210,Power to issue commission or letter of request
190,210,Cognizance of offences by Magistrates
191,211,Transfer on application of accused
192,212,Making over of cases to Magistrates
193,214,Cognizance of offences by Courts of Session
194,215,Additional and Assistant Sessions Judges to try cases made over to them
195,215,Prosecution for contempt of lawful authority of public servants for offences against public justice and for offences relating to documents given in evidence
196,215,Prosecution for offences against the State and for criminal conspiracy to commit such offence
197,215,Prosecution of Judges and public servants
198,215,Prosecution for offences against marriage
199,216,Prosecution for defamation
200,218,Examination of complainant
201,219,Procedure by Magistrate not competent to take cognizance of the case
202,220,Postponement of issue of process
203,221,Dismissal of complaint
204,222,Issue of process
205,223,Magistrate may dispense with personal attendance of accused
206,224,Special summons in cases of petty offence
207,225,Supply to accused of copy of police report and other documents
208,226,Supply of copies of statements and documents to accused in other cases triable by Court of Session
209,228,Commitment of case to Court of Session when offence is triable exclusively by it
210,229,Procedure to be followed when there is a complaint case and police investigation in respect of the same offence
211,230,Contents of charge
212,231,Particulars as to time place and person
213,232,When manner of committing offence must be stated
214,233,Sense of words used in charge
215,234,Effect of errors
216,235,Court may alter charge
217,236,Recall of witnesses when charge altered
218,237,Separate charges for distinct offences
219,238,Three offences of same kind within year may be charged together
220,239,Trial for more than one offence
221,240,Where it is doubtful what offence has been committed
222,241,When persons charged with one offence can be convicted of another
223,242,Trial of persons for offences which include other offences
224,243,Withdrawal of remaining charges on conviction on one of several charges
225,244,Trial by public prosecutor
226,245,Opening case for prosecution
227,246,Discharge
228,247,Framing of charge
229,248,Conviction on plea of guilty
230,249,Date for prosecution evidence
231,250,Evidence for prosecution
232,251,Acquittal
233,252,Entering upon defence
234,253,Arguments
235,254,Judgment of acquittal or conviction
236,255,Previous conviction
237,256,Procedure in cases instituted otherwise than on police report
238,257,Compliance with section 207
239,258,When accused shall be discharged
240,259,Framing of charge
241,260,Conviction on plea of guilty
242,261,Evidence for prosecution
243,262,Evidence for defence
244,263,Acquittal or conviction
245,264,Acquittal
246,265,Procedure for minor offences
247,266,Evidence for defence in summons-cases
248,267,Acquittal or conviction in summons-cases
249,268,Absence of complainant
250,269,Compensation for accusation without reasonable cause
252,273,Evidence to be taken in presence of accused
253,274,Record in summons-cases and inquiries
254,275,Record in warrant-cases
255,276,Record in trial before Court of Session
256,277,Language of record and judgment
257,278,Tender of pardon to accomplice
258,279,Power to terminate trial in summons-cases
260,286,Power to try summarily
261,287,Summary trial by Magistrate of the second class
262,288,Procedure for summary trials
263,289,Record in summary trials
264,290,Judgment in cases tried summarily
265A,291,Application of the Chapter
265B,292,Application for plea bargaining
265C,293,Guidelines for mutually satisfactory disposition
265D,294,Preparation of report by Court
265E,295,Disposal of the case
265F,296,Finality of the judgment
265G,297,Appeal
265H,298,Power of the Court in plea bargaining
265I,299,Period of detention undergone by the accused to be set off against the sentence of imprisonment
265J,300,Savings
265K,301,Statements of accused not to be used
265L,302,Non-application of the Chapter in certain cases
267,303,Power to summon material witness or examine person present
268,304,Power to recall and re-examine witnesses
272,308,Language of Courts
273,309,Evidence to be taken in presence of accused
274,310,Record in summons-cases
275,311,Record in warrant cases
276,312,Record in sessions trial
277,313,Language of record and judgment
299,317,Proceedings in absentia in cases of proclaimed persons
300,330,Person once convicted or acquitted not to be tried for same offence
